"unlist.NLOC_2013."
"statistic.t"	"0.228608252249081"
"parameter.df"	"32044.1633693092"
"p.value"	"0.819174868847478"
"conf.int1"	"-0.357349404254585"
"conf.int2"	"0.451714216893049"
"estimate.mean of x"	"8.33306320907617"
"estimate.mean of y"	"8.28588080275694"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2013_NLOC and r.2013_NLOC"
