"unlist.NLOC_2016."
"statistic.t"	"-0.698331426381459"
"parameter.df"	"35606.8450200782"
"p.value"	"0.484974510638234"
"conf.int1"	"-0.520372719353198"
"conf.int2"	"0.246976832506435"
"estimate.mean of x"	"8.43327417923691"
"estimate.mean of y"	"8.56997212266029"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2016_NLOC and r.2016_NLOC"
