"unlist.FUNC_2011."
"statistic.t"	"6.50475242440854"
"parameter.df"	"17801.1653781289"
"p.value"	"7.98935626642903e-11"
"conf.int1"	"28.7254766127101"
"conf.int2"	"53.5039145348705"
"estimate.mean of x"	"340.789948223531"
"estimate.mean of y"	"299.675252649741"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2011_FUNC and r.2011_FUNC"
