"unlist.CNN_2015."
"statistic.t"	"24.3682726817472"
"parameter.df"	"25089.6720558872"
"p.value"	"1.19377028651736e-129"
"conf.int1"	"0.577187788749959"
"conf.int2"	"0.678161641268795"
"estimate.mean of x"	"2.10683760683761"
"estimate.mean of y"	"1.47916289182823"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2014_CNN and r.2015_CNN"
