"unlist.NLOC_2011."
"statistic.t"	"3.33666504503585"
"parameter.df"	"25917.2149609996"
"p.value"	"0.000849092464199794"
"conf.int1"	"0.326099293005212"
"conf.int2"	"1.25471806077466"
"estimate.mean of x"	"8.88912694161757"
"estimate.mean of y"	"8.09871826472763"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2011_NLOC and r.2011_NLOC"
