"unlist.FUNC_2015."
"statistic.t"	"29.2776870338229"
"parameter.df"	"21938.512446538"
"p.value"	"7.12215624912541e-185"
"conf.int1"	"240.826774743397"
"conf.int2"	"275.386003228174"
"estimate.mean of x"	"561.380985833041"
"estimate.mean of y"	"303.274596847255"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2014_FUNC and r.2015_FUNC"
