"unlist.CNN_2012."
"statistic.t"	"22.7861936183421"
"parameter.df"	"17018.0142022429"
"p.value"	"3.0938469943646e-113"
"conf.int1"	"0.604200653679389"
"conf.int2"	"0.71793258682805"
"estimate.mean of x"	"2.11552263877224"
"estimate.mean of y"	"1.45445601851852"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2012_CNN and r.2012_CNN"
