"unlist.WRN_2011."
"statistic.t"	"-0.947543551433615"
"parameter.df"	"46.083125893229"
"p.value"	"0.348304404127788"
"conf.int1"	"-1.82569594268161"
"conf.int2"	"0.656961451366472"
"estimate.mean of x"	"1.83870967741935"
"estimate.mean of y"	"2.42307692307692"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2011_WRN and r.2011_WRN"
