"unlist.WRN_2012."
"statistic.t"	"-1.59011520166856"
"parameter.df"	"33.9660189354823"
"p.value"	"0.121074773631683"
"conf.int1"	"-2.50353225308467"
"conf.int2"	"0.305615586418003"
"estimate.mean of x"	"1.859375"
"estimate.mean of y"	"2.95833333333333"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2012_WRN and r.2012_WRN"
