"unlist.FUNC_2012."
"statistic.t"	"8.89483888418446"
"parameter.df"	"21778.5911291128"
"p.value"	"6.29651980325344e-19"
"conf.int1"	"41.7915200106787"
"conf.int2"	"65.4158000322206"
"estimate.mean of x"	"359.606322058487"
"estimate.mean of y"	"306.002662037037"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2012_FUNC and r.2012_FUNC"
