"unlist.NLOC_2015."
"statistic.t"	"0.240743626749736"
"parameter.df"	"32834.5306892394"
"p.value"	"0.809755327020738"
"conf.int1"	"-0.360559031741237"
"conf.int2"	"0.461533453976956"
"estimate.mean of x"	"8.57920618194591"
"estimate.mean of y"	"8.52871897082805"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2014_NLOC and r.2015_NLOC"
