"unlist.FUNC_2014."
"statistic.t"	"30.1606118361319"
"parameter.df"	"21619.1395899133"
"p.value"	"8.76947729870177e-196"
"conf.int1"	"247.642195245202"
"conf.int2"	"282.066854594254"
"estimate.mean of x"	"561.380985833041"
"estimate.mean of y"	"296.526460913313"
"null.value.difference in means"	"0"
"alternative"	"two.sided"
"method"	"Welch Two Sample t-test"
"data.name"	"d.2014_FUNC and r.2014_FUNC"
