"unlist.AVG_NLOC."
"statistic.t" "1.17655813197176"
"parameter.df" "11.7241374799658"
"p.value" "0.262708048548329"
"conf.int1" "-0.121365454531601"
"conf.int2" "0.404698787864936"
"estimate.mean of x" "8.525"
"estimate.mean of y" "8.38333333333333"
"null.value.difference in means" "0"
"alternative" "two.sided"
"method" "Welch Two Sample t-test"
"data.name" "DATA_D$NLOC and DATA_R$NLOC"
