./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 334 NLOC, 1 CCN, 1270 token, 0 PARAM, 1479 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 334 NLOC, 1 CCN, 1270 token, 0 PARAM, 1479 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 334 NLOC, 1 CCN, 1270 token, 0 PARAM, 1479 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 514 NLOC, 11 CCN, 1146 token, 0 PARAM, 2237 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 514 NLOC, 11 CCN, 1146 token, 0 PARAM, 2237 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 514 NLOC, 11 CCN, 1146 token, 0 PARAM, 2237 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 514 NLOC, 11 CCN, 1146 token, 0 PARAM, 2237 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 514 NLOC, 11 CCN, 1146 token, 0 PARAM, 2237 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 514 NLOC, 11 CCN, 1146 token, 0 PARAM, 2237 length
./activerecord/lib/active_record/relation/predicate_builder.rb:3: warning: self.build_from_hash has 47 NLOC, 18 CCN, 341 token, 4 PARAM, 56 length
./activerecord/lib/active_record/connection_adapters/abstract/database_statements.rb:166: warning: transaction has 69 NLOC, 21 CCN, 207 token, 1 PARAM, 73 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:81: warning: simplified_type has 35 NLOC, 30 CCN, 171 token, 1 PARAM, 50 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:134: warning: self.extract_value_from_default has 33 NLOC, 33 CCN, 231 token, 1 PARAM, 52 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 231 NLOC, 14 CCN, 734 token, 0 PARAM, 1324 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 231 NLOC, 14 CCN, 734 token, 0 PARAM, 1324 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 231 NLOC, 14 CCN, 734 token, 0 PARAM, 1324 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 231 NLOC, 14 CCN, 734 token, 0 PARAM, 1324 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 231 NLOC, 14 CCN, 734 token, 0 PARAM, 1324 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 231 NLOC, 14 CCN, 734 token, 0 PARAM, 1324 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 231 NLOC, 14 CCN, 734 token, 0 PARAM, 1324 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 231 NLOC, 14 CCN, 734 token, 0 PARAM, 1324 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:0: warning: *global* has 231 NLOC, 14 CCN, 734 token, 0 PARAM, 1324 length
./activerecord/lib/active_record/fixtures.rb:569: warning: table_rows has 49 NLOC, 20 CCN, 354 token, 0 PARAM, 68 length
./activerecord/lib/active_record/migration.rb:684: warning: migrate has 35 NLOC, 18 CCN, 230 token, 1 PARAM, 47 length
./activerecord/lib/active_record/schema_dumper.rb:83: warning: table has 59 NLOC, 17 CCN, 566 token, 2 PARAM, 82 length
